REGENERATIVELY COOLED C/SIC ROCKET COMBUSTORS,EDWARD PAQUETTE,,Phase I,Refractory Composites Inc.,64850,,MSFC
AGENT BASED TASK DECOMPOSITION PLANNING,LEONARD HAYNES,,Phase I,Intelligent Automation Inc.,69868,,JPL
APPLYING AN ELECTROPHORETIC CRYSTALLIZATION SYSTEM TO SPACE,HARVEY Rice,,Phase I,IDEA LLC,70000,,HQ
A HIGH SPECTRAL PURITY REGENERATIVE LIFSAF AMPLIFIER FOR WATER VAPOR LIDAR,HYO LEE,,Phase I,SCIENCE AND ENGINEERING SERVICES INC,69247,,LaRC
OPEN CORE ROTATOR,JAMES KIRK,,Phase I,Fare Inc,69953,,GRC
SWITCHABLE NOTCH FILTER TECHNOLOGY WITH HIGH TEMPERATURE SUPERCONDUCTORS AND SILICON ON SAPPHIRE,T. VENKATESAN,,Phase I,Neocera Inc,70000,,GRC
REGENERATIVELY COOLED C/SIC ROCKET COMBUSTORS,EDWARD PAQUETTE,,Phase II,Refractory Composites Inc.,675945,,MSFC
APPLYING AN ELECTROPHORETIC CRYSTALLIZATION SYSTEM TO SPACE,HARVEY Rice,,Phase II,IDEA LLC,600000,,MSFC
OPEN CORE ROTATOR,JAMES KIRK,,Phase II,Fare Inc,599992,,GRC
SWITCHABLE NOTCH FILTER TECHNOLOGY WITH HIGH TEMPERATURE SUPERCONDUCTORS AND SILICON ON SAPPHIRE,T. VENKATESAN,,Phase II,Neocera Inc,599989,,GRC
A HIGH SPECTRAL PURITY REGENERATIVE LIFSAF AMPLIFIER FOR WATER VAPOR LIDAR,HYO LEE,,Phase II,SCIENCE AND ENGINEERING SERVICES INC,589832,,LaRC
AGENT BASED TASK DECOMPOSITION PLANNING,LEONARD HAYNES,,Phase II,Intelligent Automation Inc.,596174,,JPL
RAPTOR-RAPID APPLICATION PRODUCTION TOOL USING OBJECT RELATIONSHIPS,DONALD LINK,,Phase I,Century Computing Inc,69678,,GSFC
A HIGH SPEED HIGH QUANTUM EFFICIENTY INTEGRATED APD PHOTON COUNTING DETECTOR,S.P.S. ANAND,,Phase I,Applied Research Corp,70000,,LaRC
TEMPERATURE/STRAIN SENSOR FOR ROCKET ENGINES,EDWARD PAQUETTE,,Phase I,Refractory Composites Inc.,99864,Small Business Technology Transfer,MSFC
